"","Date","GameID","Drive","qtr","down","time","TimeUnder","TimeSecs","PlayTimeDiff","SideofField","yrdln","yrdline100","ydstogo","ydsnet","GoalToGo","FirstDown","posteam","DefensiveTeam","desc","PlayAttempted","Yards.Gained","sp","Touchdown","ExPointResult","TwoPointConv","DefTwoPoint","Safety","Onsidekick","PuntResult","PlayType","Passer","Passer_ID","PassAttempt","PassOutcome","PassLength","AirYards","YardsAfterCatch","QBHit","PassLocation","InterceptionThrown","Interceptor","Rusher","Rusher_ID","RushAttempt","RunLocation","RunGap","Receiver","Receiver_ID","Reception","ReturnResult","Returner","BlockingPlayer","Tackler1","Tackler2","FieldGoalResult","FieldGoalDistance","Fumble","RecFumbTeam","RecFumbPlayer","Sack","Challenge.Replay","ChalReplayResult","Accepted.Penalty","PenalizedTeam","PenaltyType","PenalizedPlayer","Penalty.Yards","PosTeamScore","DefTeamScore","ScoreDiff","AbsScoreDiff","HomeTeam","AwayTeam","Timeout_Indicator","Timeout_Team","posteam_timeouts_pre","HomeTimeouts_Remaining_Pre","AwayTimeouts_Remaining_Pre","HomeTimeouts_Remaining_Post","AwayTimeouts_Remaining_Post","No_Score_Prob","Opp_Field_Goal_Prob","Opp_Safety_Prob","Opp_Touchdown_Prob","Field_Goal_Prob","Safety_Prob","Touchdown_Prob","ExPoint_Prob","TwoPoint_Prob","ExpPts","EPA","airEPA","yacEPA","Home_WP_pre","Away_WP_pre","Home_WP_post","Away_WP_post","Win_Prob","WPA"
"1",2013-02-03,"2013020300",1,1,NA,"15:00",15,3600,0,"BAL",35,35,0,0,0,NA,"SF","BAL","J.Tucker kicks 65 yards from BAL 35 to end zone, Touchback.",1,0,0,0,NA,NA,NA,0,0,NA,"Kickoff",NA,"None",0,NA,NA,0,0,0,NA,0,NA,NA,"None",0,NA,NA,NA,"None",0,"Touchback",NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,0,0,0,"SF","BAL",0,"None",3,3,3,3,3,0.00113458114017243,0.180621394958124,0.00623101227344075,0.293309278407024,0.200382438005826,0.00400483174310272,0.314316463472311,0,0,0.201881063539439,0,NA,NA,0.485416409849407,0.514583590150593,0.485416409849407,0.514583590150593,0.485416409849407,0
"2",2013-02-03,"2013020300",1,1,"1","15:00",15,3600,0,"SF",20,80,10,-5,0,1,"SF","BAL","(15:00) (Shotgun) C.Kaepernick pass deep left to V.Davis to SF 40 for 20 yards (B.Pollard). PENALTY on SF-V.Davis, Illegal Formation, 5 yards, enforced at SF 20 - No Play.",1,20,0,0,NA,NA,NA,0,0,NA,"No Play","C.Kaepernick","None",1,"Complete","Deep",0,0,0,"left",0,NA,NA,"None",0,NA,NA,"V.Davis","None",1,NA,NA,NA,"B.Pollard",NA,NA,NA,0,NA,NA,0,0,NA,1,"SF","Illegal Formation","V.Davis",5,0,0,0,0,"SF","BAL",0,"None",3,3,3,3,3,0.00113458114017243,0.180621394958124,0.00623101227344075,0.293309278407024,0.200382438005826,0.00400483174310272,0.314316463472311,0,0,0.201881063539439,NA,NA,NA,0.485416409849407,0.514583590150593,NA,NA,0.485416409849407,NA
"3",2013-02-03,"2013020300",1,1,"1","14:39",15,3579,21,"SF",15,85,15,-5,0,0,"SF","BAL","(14:39) (Shotgun) F.Gore left tackle to SF 15 for no gain (D.Ellerbe).",1,0,0,0,NA,NA,NA,0,0,NA,"Run",NA,"None",0,NA,NA,0,0,0,NA,0,NA,"F.Gore","00-0023500",1,"left","tackle",NA,"None",0,NA,NA,NA,"D.Ellerbe",NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,0,0,0,"SF","BAL",0,"None",3,3,3,3,3,0.00123044396227614,0.204183537239276,0.00966575619204471,0.329268813571177,0.159114208867942,0.0031966386014515,0.293340601565832,0,0,-0.399643704332603,-0.700890201192399,NA,NA,0.468470254478615,0.531529745521385,0.449296996659891,0.550703003340109,0.468470254478615,-0.0191732578187241
"4",2013-02-03,"2013020300",1,1,"2","14:00",14,3540,39,"SF",15,85,15,-5,0,0,"SF","BAL","(14:00) (Shotgun) C.Kaepernick pass incomplete short right to D.Walker. Walker caught the ball, but was already out-of-bounds.",1,0,0,0,NA,NA,NA,0,0,NA,"Pass","C.Kaepernick","00-0027974",1,"Incomplete Pass","Short",8,0,0,"right",0,NA,NA,"None",0,NA,NA,"D.Walker","00-0024389",0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,0,0,0,"SF","BAL",0,"None",3,3,3,3,3,0.00142056214457932,0.228395137146661,0.0122132753760152,0.368753465888012,0.12873053074818,0.00384969504746086,0.256637333649091,0,0,-1.100533905525,-0.903929629901068,0.232413125492413,-1.13634275539348,0.449296996659891,0.550703003340109,0.422127318286061,0.577872681713939,0.449296996659891,-0.0271696783738293
"5",2013-02-03,"2013020300",1,1,"3","13:55",14,3535,5,"SF",15,85,15,-2,0,0,"SF","BAL","(13:55) (Shotgun) F.Gore left tackle to SF 18 for 3 yards (R.Lewis).",1,3,0,0,NA,NA,NA,0,0,NA,"Run",NA,"None",0,NA,NA,0,0,0,NA,0,NA,"F.Gore","00-0023500",1,"left","tackle",NA,"None",0,NA,NA,NA,"R.Lewis",NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,0,0,0,"SF","BAL",0,"None",3,3,3,3,3,0.00138166163103589,0.265466663039734,0.0121930629391824,0.418860088266196,0.0864909311367327,0.00407654937703149,0.211531043610087,0,0,-2.00446353542607,-0.745093098728037,NA,NA,0.422127318286061,0.577872681713939,0.400902067100255,0.599097932899745,0.422127318286061,-0.0212252511858061
"6",2013-02-03,"2013020300",1,1,"4","13:16",14,3496,39,"SF",18,82,12,-2,0,1,"SF","BAL","(13:16) A.Lee punts 50 yards to BAL 32, Center-B.Jennings. J.Jones pushed ob at BAL 49 for 17 yards (M.Wilhoite).",1,17,0,0,NA,NA,NA,0,0,"Clean","Punt",NA,"None",0,NA,NA,0,0,0,NA,0,NA,NA,"None",0,NA,NA,NA,"None",0,NA,NA,NA,"M.Wilhoite",NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,0,0,0,"SF","BAL",0,"None",3,3,3,3,3,0.00159000121035417,0.305156350898748,0.00845330030393335,0.455825820188328,0.0520849639838886,0.00417641507731868,0.172713148337429,0,0,-2.74955663415411,-0.0910121300985081,NA,NA,0.400902067100255,0.599097932899745,0.42920546223208,0.57079453776792,0.400902067100255,0.0283033951318251
"7",2013-02-03,"2013020300",2,1,"1","13:05",14,3485,11,"BAL",49,51,10,8,0,0,"BAL","SF","(13:05) J.Flacco pass short left to V.Leach to SF 43 for 8 yards (P.Willis, D.Whitner). Pass 0, YAC 8",1,8,0,0,NA,NA,NA,0,0,NA,"Pass","J.Flacco","00-0026158",1,"Complete","Short",0,8,0,"left",0,NA,NA,"None",0,NA,NA,"V.Leach","00-0022397",1,NA,NA,NA,"P.Willis","D.Whitner",NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,0,0,0,"SF","BAL",0,"None",3,3,3,3,3,0.000962217410961626,0.0900523436112248,0.000590533478692522,0.142500344869448,0.308169068629852,0.00383527475169896,0.453890217248122,0,0,2.84056876425261,0.569854914583098,-0.611666113225117,1.18152102780822,0.42920546223208,0.57079453776792,0.409966628684217,0.590033371315783,0.57079453776792,0.0192388335478636
"8",2013-02-03,"2013020300",2,1,"2","12:29",13,3449,36,"SF",43,43,2,12,0,1,"BAL","SF","(12:29) R.Rice left guard to SF 39 for 4 yards (J.Smith, D.Goldson).",1,4,0,0,NA,NA,NA,0,0,NA,"Run",NA,"None",0,NA,NA,0,0,0,NA,0,NA,"R.Rice","00-0026195",1,"left","guard",NA,"None",0,NA,NA,NA,"J.Smith","D.Goldson",NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,0,0,0,"SF","BAL",0,"None",3,3,3,3,3,0.000877786023667809,0.0723105136155072,0.000751456652545643,0.113987106207899,0.310192001661084,0.00339521588314102,0.498485919956155,0,0,3.41042367883571,0.199972923359098,NA,NA,0.409966628684217,0.590033371315783,0.402591068463095,0.597408931536905,0.590033371315783,0.00737556022112207
"9",2013-02-03,"2013020300",2,1,"1","11:58",12,3418,31,"SF",39,39,10,32,0,1,"BAL","SF","(11:58) J.Flacco pass deep right to T.Smith to SF 19 for 20 yards (D.Whitner). Pass 21, YAC -1",1,20,0,0,NA,NA,NA,0,0,NA,"Pass","J.Flacco","00-0026158",1,"Complete","Deep",21,-1,0,"right",0,NA,NA,"None",0,NA,NA,"T.Smith","00-0027996",1,NA,NA,NA,"D.Whitner",NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,0,0,0,"SF","BAL",0,"None",3,3,3,3,3,0.000899456818391531,0.0627133066852602,0.000214310475673532,0.0976445004988583,0.342492273617215,0.00345064749798183,0.49258550440662,0,0,3.61039660219481,0.850760408409133,0.88250214683897,-0.0317417384298366,0.402591068463095,0.597408931536905,0.374263954100662,0.625736045899338,0.597408931536905,0.0283271143624322
"10",2013-02-03,"2013020300",2,1,"1","11:21",12,3381,37,"SF",19,19,10,33,0,0,"BAL","SF","(11:21) R.Rice left tackle to SF 18 for 1 yard (A.Brooks).",1,1,0,0,NA,NA,NA,0,0,NA,"Run",NA,"None",0,NA,NA,0,0,0,NA,0,NA,"R.Rice","00-0026195",1,"left","tackle",NA,"None",0,NA,NA,NA,"A.Brooks",NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,0,0,0,"SF","BAL",0,"None",3,3,3,3,3,0.000522315379789283,0.0325912245125324,4.55189756287146e-05,0.0487945024267311,0.378181850850956,0.00260288569069769,0.537261702163665,0,0,4.46115701060394,-0.39628715590138,NA,NA,0.374263954100662,0.625736045899338,0.386385082158499,0.613614917841501,0.625736045899338,-0.0121211280578363
